#,Title,Authors,Barcode,Call No,ISBN,Status,Patron Status,Hold Status
5777,"A light in the attic","Silverstein, Shel",33124038901517,811 SIL,9780847946815,Out,0,No Hold
5778,"Lightfall. 1, The girl & the Galdurian /","Probert, Tim",33124127891710,F PRO,9780062990464,In,0,No Hold
5779,"Lightfall. 2, Shadow of the bird /","Probert, Tim",33124127891660,F PRO,9780062990501,In,0,No Hold
5780,"Lightfinder","Paquette, Aaron",33124101582699,F PAQ,9780986874079,In,0,No Hold
5781,"The lighthouse : an Adam Dalgliesh mystery","James, P. D.",33124098474561,F JAM,676978177,In,0,No Hold
5782,"Lightning and blackberries","Jefferson, Joanne Kent",33124054040646,F JEF,9781551096544,In,0,No Hold
5783,"Lightning rider","Guest, Jacqueline",33124020338363,F GUE,1550287214,In,0,No Hold
5784,"The lightning thief","Riordan, Rick",33124058455196,F RIO,9780786838653,In,0,No Hold
5785,"The lightning thief","Riordan, Rick",33124085415122,F RIO,9780786838653,Lost/Missing,0,No Hold
5786,"Lights, camera--","Keene, Carolyn",33124070116768,F KEE,0689865708,In,0,No Hold
5787,"Lights, camera, disaster!","Korman, Gordon",33124074240622,F KOR,9781443124973,In,0,No Hold
5788,"Like a bird : a novel","Róisín, Fariha",33124118824316,F ROI,9781951213091,In,0,No Hold
5789,"Lil Wayne.","Author, Unknown",33124092800696,781.649 LIL LIL,1622500148,In,0,No Hold
5790,"Lilies of the hearth : the historical relationship between women & plants","Bennett, Jennifer",806896,398 .368 BEN,0921820275,In,0,No Hold
5791,"Lily and Dunkin","Gephart, Donna",33124112006001,F GEP,9780553536775,In,0,No Hold
5792,"Dash & Lily's book of dares","Cohn, Rachel",33124101981594,F COH,9780605474833,In,0,No Hold
5793,"The line of beauty","Hollinghurst, Alan",33124083410802,12 F HOL,1582346100,In,0,No Hold
5794,"The line painter","Cameron, Claire",33124049729535,F CAM,9780002008358,In,0,No Hold
5795,"The lines we cross","Abdel-Fattah, Randa.",33124109647338,F ABD,9781338118667,In,0,No Hold
5796,"Linnea in Monet's Garden","Bjork, Christina",33124074242107,759 .5 BJO,9129583144,In,0,No Hold
5797,"Linspired : Jeremy Lin's extraordinary story of faith and resilience","Yorkey, Mike",33124074241513,796.323 LIN YOR,9780310337515,In,0,No Hold
5798,"The lion king","Korman, Justine",33124106912883,E KOR,736420959,In,0,No Hold
5799,"Lion of Africa","Payne, Mary Jennifer",33124054032593,F PAY,9781554482436,In,0,No Hold
5800,"The lion, the witch and the wardrobe","Lewis, Clive Staples",33124038893698,F LEW,1831070,In,0,No Hold
5801,"The lion, the witch and the wardrobe","Lewis, Clive Staples",33124070116628,F LEW,61715050,In,0,No Hold
5802,"The lion, the witch and the wardrobe","Lewis, Clive Staples",1890184,F LEW,61715050,In,0,No Hold
5803,"Lionel Conacher","Cosentino, Frank",33124096021703,796 .092 CON COS,889026793,In,0,No Hold
5804,"Lip gloss jungle","De la Cruz, Melissa",33124046425442,F DEL,9781416934097,In,0,No Hold
5805,"Lirael, daughter of the Clayr","Nix, Garth",33124034597772,F NIX,9780605012295,In,0,No Hold
5806,"Lisey's story","King, Stephen",33124049735607,F KIN,9781416585718,Lost/Missing,0,No Hold
5807,"Lit","Jacobs, Evan",33124127916483,F JAC,9781638893288,In,0,No Hold
5808,"Literature","Author, Unknown",33124085413291,819.09 CAN,9781553889670,In,0,No Hold
5809,"Literature of Africa","Killam, G. D.",33124040855370,809 KIL,313319014,In,0,No Hold
5810,"The litigators : [a novel]","Grisham, John",33124092795896,F GRI,9780345530561,In,0,No Hold
5811,"Little Beauty","Browne, Anthony",33124057942012,E BRO,9780605212497,In,0,No Hold
5812,"Little brother","Doctorow, Cory",33124070319859,F DOC,9780765319852,In,0,No Hold
5813,"Little Brother of War","Robinson, Gary",33124100973352,F ROB,9781939053022,In,0,No Hold
5814,"Little by little : you can change the world","Ballantyne, Sonya",33124127650561,320.0835 RED BAL,9781774920985,Out,0,No Hold
5815,"Little girl lost","Rich, Betty",33124118825149,940.5318 RIC,9781897470251,In,0,No Hold
